city_name,record_date,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,AVERAGE_PRECIPITATION,AVERAGE_RAIN
Porto,2019-08-29 07:00:00,Medium,41.5,11.5,71.4,LIGHT,15.0,1019.0,100.0,3.0,,0.0,
Porto,2018-08-10 14:00:00,High,41.7,48.3,87.4,LIGHT,21.0,1021.0,53.0,5.0,céu claro,0.0,NULL
Porto,2019-09-01 16:00:00,High,38.6,38.4,85.2,LIGHT,26.0,1014.0,61.0,4.0,,0.0,
Porto,2019-02-26 11:00:00,High,37.4,61.0,94.1,LIGHT,18.0,1025.0,48.0,4.0,céu claro,0.0,NULL
Porto,2019-06-06 12:00:00,Medium,41.6,50.4,77.0,LIGHT,15.0,1008.0,82.0,10.0,,0.0,
Porto,2018-11-15 07:00:00,Medium,52.4,5.6,68.5,LOW_LIGHT,13.0,1014.0,72.0,4.0,nuvens dispersas,0.0,NULL
Porto,2018-10-03 21:00:00,None,45.7,4.0,79.8,DARK,16.0,1020.0,58.0,0.0,céu claro,0.0,NULL
Porto,2018-08-25 19:00:00,Low,40.9,11.8,87.8,LIGHT,19.0,1014.0,64.0,5.0,céu claro,0.0,NULL
Porto,2019-06-30 12:00:00,Low,36.4,10.6,72.6,LIGHT,21.0,1019.0,82.0,5.0,céu pouco nublado,0.0,
Porto,2019-04-20 09:00:00,Low,34.8,10.1,84.4,LIGHT,19.0,1018.0,55.0,3.0,céu limpo,0.0,NULL
Porto,2019-08-25 22:00:00,Medium,42.5,14.1,75.1,DARK,18.0,1015.0,100.0,1.0,,0.0,chuva fraca
Porto,2019-07-18 06:00:00,Low,46.8,2.4,75.5,LIGHT,14.0,1017.0,100.0,11.0,,0.0,
Porto,2019-01-20 07:00:00,Low,40.9,10.1,87.9,DARK,9.0,1017.0,81.0,5.0,algumas nuvens,0.0,NULL
Porto,2019-01-25 14:00:00,Medium,41.8,18.8,81.5,LIGHT,15.0,1021.0,67.0,2.0,céu claro,0.0,NULL
Porto,2019-09-27 04:00:00,None,45.1,4.0,78.0,DARK,12.0,1021.0,100.0,1.0,céu pouco nublado,0.0,
Porto,2019-02-08 22:00:00,None,39.3,5.0,90.0,DARK,11.0,1023.0,100.0,4.0,nuvens quebrados,0.0,NULL
Porto,2019-09-08 05:00:00,None,46.0,7.1,83.5,DARK,18.0,1016.0,40.0,5.0,,0.0,
Porto,2018-12-09 22:00:00,None,37.5,0.8,67.8,DARK,11.0,1030.0,100.0,2.0,NULL,0.0,NULL
Porto,2018-12-02 21:00:00,Low,44.7,2.5,68.2,DARK,15.0,1024.0,87.0,6.0,nuvens quebrados,0.0,NULL
Porto,2019-02-17 14:00:00,Low,35.7,10.9,105.3,LIGHT,16.0,1019.0,67.0,5.0,algumas nuvens,0.0,NULL
Porto,2018-11-10 22:00:00,Low,43.3,4.8,84.7,DARK,15.0,1012.0,100.0,6.0,nuvens quebrados,0.0,NULL
Porto,2019-09-13 23:00:00,None,39.7,2.0,72.0,DARK,24.0,1020.0,32.0,4.0,,0.0,
Porto,2019-04-29 16:00:00,Medium,40.9,35.9,77.7,LIGHT,20.0,1018.0,82.0,6.0,,0.0,chuva fraca
Porto,2018-10-03 19:00:00,Medium,43.0,30.7,89.3,DARK,22.0,1020.0,37.0,1.0,céu claro,0.0,NULL
Porto,2019-08-08 18:00:00,Very_High,43.1,113.5,86.2,LIGHT,22.0,1011.0,94.0,7.0,,0.0,chuva fraca
Porto,2018-10-26 19:00:00,High,40.8,25.9,81.9,DARK,14.0,1014.0,93.0,0.0,nuvens quebrados,0.0,NULL
Porto,2019-07-13 19:00:00,Medium,35.6,26.7,89.8,LIGHT,22.0,1016.0,83.0,3.0,céu pouco nublado,0.0,
Porto,2018-08-13 12:00:00,High,33.8,136.9,93.6,LIGHT,20.0,1019.0,77.0,3.0,nuvens quebrados,0.0,NULL
Porto,2019-05-25 02:00:00,None,37.9,2.5,64.7,DARK,15.0,1019.0,67.0,4.0,,0.0,
Porto,2019-09-09 10:00:00,Medium,36.2,38.7,84.8,LIGHT,16.0,1019.0,100.0,1.0,,0.0,
Porto,2019-06-16 10:00:00,Low,37.2,9.4,72.5,LIGHT,17.0,1019.0,72.0,2.0,,0.0,
Porto,2019-02-07 07:00:00,Medium,47.3,6.2,80.3,DARK,8.0,1025.0,100.0,1.0,nuvens dispersas,0.0,NULL
Porto,2018-10-17 03:00:00,Low,45.5,3.6,86.2,DARK,13.0,1018.0,93.0,2.0,NULL,0.0,NULL
Porto,2018-11-07 02:00:00,None,45.3,1.4,81.6,DARK,13.0,1007.0,93.0,6.0,nuvens quebrados,0.0,NULL
Porto,2018-08-01 23:00:00,Low,41.4,14.2,77.1,DARK,18.0,1013.0,88.0,0.0,céu claro,0.0,NULL
Porto,2018-08-15 19:00:00,Low,37.3,13.0,91.4,LIGHT,21.0,1015.0,73.0,2.0,algumas nuvens,0.0,NULL
Porto,2018-12-08 10:00:00,None,36.7,0.0,75.5,LIGHT,7.0,1032.0,100.0,1.0,algumas nuvens,0.0,NULL
Porto,2018-11-03 01:00:00,None,38.3,0.0,84.3,DARK,13.0,1026.0,100.0,0.0,NULL,0.0,NULL
Porto,2018-09-18 13:00:00,Medium,34.2,36.3,92.5,LIGHT,21.0,1018.0,83.0,3.0,tempo nublado,0.0,NULL
Porto,2019-01-27 00:00:00,Low,37.2,3.0,66.9,DARK,11.0,1020.0,87.0,4.0,tempo nublado,0.0,NULL
